Usuario,Rating,Fecha,Descripcion,Local
Lucas RC,4 estrellas,Hace 3 meses,"Son un 10 los helados y la atención.
Además el lugar muy lindo, muy recomendable. Moderno y limpio
La atención es super amable y predispuestobel personal…",Emilio Lamarca 3683
Paola Cabral,4 estrellas,Hace un año,"Local nuevo en alta cordoba, los helados se destacan por su buen sabor, son muy ricos, la atención fue muy amable; lo único que los dueños no le permiten prender el aire acondicionado, solo después de cierta temperatura, me parece muy…",Emilio Lamarca 3683
Mica G,4 estrellas,3 semanas atrás,"Helado muy rico, ame el macaron. Faltaba como 20 minutos  para la hora de cierre pero ya estaban cerrando rejas y todo en la cara de uno.",Emilio Lamarca 3683
Victor Altamirano,5 estrellas,3 semanas atrás,"Los mejores helados de Córdoba, junto con la atención de Sofía!!!!!",Emilio Lamarca 3683
María Dolores Ñáñez,5 estrellas,Hace 5 días,"Muy buena atención siempre, helados de  buena calidad y sabores sabrosos, ambiente moderno y cálido para quedarse.",Emilio Lamarca 3683
Carlos Miranda,4 estrellas,2 semanas atrás,"Los helados son siempre cumplidores.
Excelente relación precio/calidad.
El palito de agua de frutilla es el mejor de la ciudad.",Emilio Lamarca 3683
Jorge Sanz,5 estrellas,Hace un año,"Está heladería de renovado y moderno diseño me ha encantado por lo original de sus sabores y lo sabrosos que son. Probé una tarta realmente una bomba pero riquísima y para rematarlo, por si era poco, un cucurucho de helado con dos sabores, el de dulce de leche sin palabras y el de durazno también muy muy rico. La verdad es que repetiré.",Emilio Lamarca 3683
Guillermo García,5 estrellas,Hace 2 meses,Me sorprendió la muy buena calidad de sus helados. La atención es excelente como en pocos lugares.,Emilio Lamarca 3683
Maximiliano Alvarez,5 estrellas,Hace 3 meses,"Muy lindo lugar, el dia que lo visite hacia mucho calor. Pero pudimos acomodarnos adentro donde estaba lindo con el aire acondicionado. La atencion fue buena, el lugar tiene cortinas para que no te de directo el sol. Los baños muy limpios y tienen bebedero de agua fria.",Emilio Lamarca 3683
Eduardo Rapetti,5 estrellas,Hace un mes,"Muy bien atendido, excelente el helado y MUY buena la promoción de los miércoles Helado, buenísimo el descuento por ser miércoles, muchas gracias",Emilio Lamarca 3683
Adri Anita,5 estrellas,Hace un mes,"Excelentes helados y muy amables los empleados, muy limpio todo",Emilio Lamarca 3683
Andre Olmos,4 estrellas,Hace 4 meses,"Ricos helados, variedad de gustos y precios razonables.",Emilio Lamarca 3683
Mariana Mier,4 estrellas,Hace 3 meses,"Exquisito helado en Córdoba, súper recomiendo. El lugar muy lindo también",Emilio Lamarca 3683
Gloria Antoniazzi,5 estrellas,Hace 2 años,"Excelente lugar, ricoooooooo los helados y super cordiales los empleados",Emilio Lamarca 3683
Agustin Nicolas Foresta,5 estrellas,Hace 2 años,"Hermosa heladería, cada rincón es ""instagrameable"" y el helado es riquísimo. Tiene una buena variedad de gustos. El precio es acordé al producto.",Emilio Lamarca 3683
jesus aristiguieta,5 estrellas,Hace 2 meses,Excelente lugar muy buenos helados artesanales premiun todo,Emilio Lamarca 3683
Cande Villarreal,5 estrellas,Hace un mes,Destaco la amabilidad de los empleados. El ambiente es muy cómodo.,Emilio Lamarca 3683
Gaston Longo,5 estrellas,Hace 3 meses,"El más rico helado de Córdoba, hace 30 años que lo consumo y no lo cambio por ninguno.",Emilio Lamarca 3683
Guillermo Lopez,1 estrella,Hace 2 meses,Presensie como se maltrataba los empleados por parte de la que calculo sea la dueña. Una irrespetuosa,Emilio Lamarca 3683
Walewska Buysse Minguet,5 estrellas,Hace 3 años,Muy buena la atención y ricos helados .,Emilio Lamarca 3683
Lautaro Morero,3 estrellas,Hace 7 meses,"Años siendo el mejor helado de Córdoba, del cual era fanático. Hoy después de haber comprado varias veces tengo que lamentar que lo peor que le pasó a esta marca es franquiciarse. No es que el helado sea malo ahora, pero no es ni por asomo lo que supieron hacer durante tantos años. Cómo fanatico del helado, estoy de duelo",Emilio Lamarca 3683
Martin Pieroni,5 estrellas,Hace 4 meses,Muy buena atención. Sus cremas heladas son exquisitas.,Emilio Lamarca 3683
Natalia Bergagna,5 estrellas,Hace 4 meses,"Riquísimos helados, y muy lindo ambiente",Emilio Lamarca 3683
Federico Capucci,5 estrellas,Hace 7 meses,Muy buena atención. Bonita ambientación.,Emilio Lamarca 3683
Candela Modarelli,4 estrellas,Hace 11 meses,"La calidad de los helado es muy buena. La cafetería también lo es. El servicio es ágil aunque no siempre 100% amigable. El ambiente es climatizado, se torna extremo por momentos, muy frío o muy caluroso dependiendo de la estación. Agradable la galería en exterior.",Emilio Lamarca 3683
